gene_callers_id,contig,start,stop,bin,bin_contig,source,integron,ocean,pnps,sample_id,depth,category_accession,COG_category,e_value
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,0.09806588437881532,ERR599037,MES,L,"Replication, recombination and repair",0
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,0.1682588242689164,ERR599062,MES,L,"Replication, recombination and repair",0
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,0.0928766457449276,ERR599109,MES,L,"Replication, recombination and repair",0
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,0.09400731635646717,ERR599167,MES,L,"Replication, recombination and repair",0
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,0.09760949107797824,ERR599172,MES,L,"Replication, recombination and repair",0
49648,CPC-8_MHASMcontig_742984,991,1984,CPC-8,MHASMcontig_742984,tara,complete,CPC,0.11920534521227018,ERR599346,MES,L,"Replication, recombination and repair",0
68491,CPC-48_25101,1440,2409,CPC-48,25101,tara,In0,CPC,1.0802180332225635,ERR599064,SRF,L,"Replication, recombination and repair",0
68491,CPC-48_25101,1440,2409,CPC-48,25101,tara,In0,CPC,2.9994855654550427,ERR598971,MES,L,"Replication, recombination and repair",0
70371,CPC-48_MHASMcontig_120922,2075,2474,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,0.07883358471593753,ERR598971,MES,,,
70373,CPC-48_MHASMcontig_120922,3781,4324,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,0.4662992602459382,ERR598971,MES,Q,"Secondary metabolites biosynthesis, transport and catabolism",0
70374,CPC-48_MHASMcontig_120922,4411,4798,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,0.0,ERR598971,MES,Q,"Secondary metabolites biosynthesis, transport and catabolism",0
70375,CPC-48_MHASMcontig_120922,4953,5427,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,0.11701104520481286,ERR598971,MES,J!!!O,"Translation, ribosomal structure and biogenesis",0
70375,CPC-48_MHASMcontig_120922,4953,5427,CPC-48,MHASMcontig_120922,tara,CALIN,CPC,0.11701104520481286,ERR598971,MES,J!!!O,"Posttranslational modification, protein turnover, chaperones",0
71595,CPC-33_93899,3366,3828,CPC-33,93899,tara,CALIN,CPC,0.2294768925011854,ERR598965,DCM,,,
73258,CPC-6_92276,794,1838,CPC-6,92276,tara,CALIN,CPC,0.042253047243732314,ERR598965,DCM,X,"Mobilome: prophages, transposons",0
78137,CPC-16_24677,2819,3257,CPC-16,24677,tara,CALIN,CPC,0.279967282887578,ERR599064,SRF,,,
78137,CPC-16_24677,2819,3257,CPC-16,24677,tara,CALIN,CPC,0.09714548799333797,ERR598965,DCM,,,
87795,CPC-64_21130,38263,38701,CPC-64,21130,tara,CALIN,CPC,1.1242794684993898,ERR599064,SRF,,,
87817,CPC-64_21257,9550,10300,CPC-64,21257,tara,CALIN,CPC,0.7048757438324039,ERR599064,SRF,,,
181696,CPC-327_4478,43470,43770,CPC-327,4478,tara,CALIN,CPC,0.5666154070713029,ERR599064,SRF,,,
181696,CPC-327_4478,43470,43770,CPC-327,4478,tara,CALIN,CPC,0.7365745856353612,ERR598965,DCM,,,
181696,CPC-327_4478,43470,43770,CPC-327,4478,tara,CALIN,CPC,0.7402690638948737,ERR598971,MES,,,
181696,CPC-327_4478,43470,43770,CPC-327,4478,tara,CALIN,CPC,0.6340306258873879,ERR599128,MES,,,
181696,CPC-327_4478,43470,43770,CPC-327,4478,tara,CALIN,CPC,0.3180776936462338,ERR599132,MES,,,
186755,CPC-12_118202,145243,146083,CPC-12,118202,tara,CALIN,CPC,0.12976369724288914,ERR599346,MES,O,"Posttranslational modification, protein turnover, chaperones",0
191743,CPC-69_MHASMcontig_743989,17060,17864,CPC-69,MHASMcontig_743989,tara,CALIN,CPC,0.1312975432392264,ERR599346,MES,L,"Replication, recombination and repair",0
222838,CPC-45_13884,2055,3021,CPC-45,13884,tara,complete,CPC,0.47940738990455395,ERR598965,DCM,L,"Replication, recombination and repair",0
60550,MED-668_MHASMcontig_6913,0,111,MED-668,MHASMcontig_6913,tara,complete,MED,1.3952919783779154,ERR315857,SRF,,,
60550,MED-668_MHASMcontig_6913,0,111,MED-668,MHASMcontig_6913,tara,complete,MED,2.447308116441654,ERR594288,SRF,,,
60550,MED-668_MHASMcontig_6913,0,111,MED-668,MHASMcontig_6913,tara,complete,MED,3.896760816277818,ERR315856,DCM,,,
60550,MED-668_MHASMcontig_6913,0,111,MED-668,MHASMcontig_6913,tara,complete,MED,0.7342678010049281,ERR594405,DCM,,,
60550,MED-668_MHASMcontig_6913,0,111,MED-668,MHASMcontig_6913,tara,complete,MED,2.16935235758056,ERR594408,DCM,,,
60551,MED-668_MHASMcontig_6913,846,1815,MED-668,MHASMcontig_6913,tara,complete,MED,0.04954230284019595,ERR315856,DCM,L,"Replication, recombination and repair",0
61659,MED-668_MHASMcontig_40304,5895,8358,MED-668,MHASMcontig_40304,tara,CALIN,MED,0.8183343962640095,ERR315856,DCM,Q,"Secondary metabolites biosynthesis, transport and catabolism",0
61661,MED-668_MHASMcontig_40304,9636,12123,MED-668,MHASMcontig_40304,tara,CALIN,MED,0.9174475299621122,ERR315856,DCM,E,Amino acid transport and metabolism,0
62929,MED-668_5610,177618,178125,MED-668,5610,tara,In0,MED,1.0719681675129349,ERR315856,DCM,L,"Replication, recombination and repair",0
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,0.11170695210254383,ERR315858,SRF,X,"Mobilome: prophages, transposons",0
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,0.11911329086825898,ERR315861,SRF,X,"Mobilome: prophages, transposons",0
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,0.1179606200198065,ERR598951,SRF,X,"Mobilome: prophages, transposons",0
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,0.14230605977591532,ERR599043,SRF,X,"Mobilome: prophages, transposons",0
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,0.1225309592269554,ERR315859,DCM,X,"Mobilome: prophages, transposons",0
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,0.12265996163476828,ERR315860,DCM,X,"Mobilome: prophages, transposons",0
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,0.0993535671252863,ERR594405,DCM,X,"Mobilome: prophages, transposons",0
86666,MED-592_34096,3551,4994,MED-592,34096,tara,CALIN,MED,0.11980367919304258,ERR599094,DCM,X,"Mobilome: prophages, transposons",0
86732,MED-592_107888,14245,15601,MED-592,107888,tara,complete,MED,0.02785101861478577,ERR599043,SRF,X,"Mobilome: prophages, transposons",0
88583,MED-592_109940,9733,10846,MED-592,109940,tara,CALIN,MED,0.0284246427635359,ERR599043,SRF,H!!!H,Coenzyme transport and metabolism,0
88583,MED-592_109940,9733,10846,MED-592,109940,tara,CALIN,MED,0.0284246427635359,ERR599043,SRF,H!!!H,Coenzyme transport and metabolism,0
88584,MED-592_109940,10947,11412,MED-592,109940,tara,CALIN,MED,0.0,ERR599043,SRF,H,Coenzyme transport and metabolism,0
88585,MED-592_109940,11427,11838,MED-592,109940,tara,CALIN,MED,0.09658098833154867,ERR599043,SRF,K,Transcription,0
125810,MED-870_50978,8434,10780,MED-870,50978,tara,CALIN,MED,0.027587940480779446,ERR594315,DCM,L,"Replication, recombination and repair",0
125810,MED-870_50978,8434,10780,MED-870,50978,tara,CALIN,MED,0.011949639134824285,ERR594329,DCM,L,"Replication, recombination and repair",0
125811,MED-870_50978,10793,11933,MED-870,50978,tara,CALIN,MED,0.03028246359363015,ERR594329,DCM,M,Cell wall/membrane/envelope biogenesis,0
125812,MED-870_50978,11901,12441,MED-870,50978,tara,CALIN,MED,0.5943252298011779,ERR594329,DCM,R,General function prediction only,0
125813,MED-870_50978,12440,13034,MED-870,50978,tara,CALIN,MED,0.05163801473233924,ERR594329,DCM,,,
283605,MED-698_120,2888,3329,MED-698,120,tara,CALIN,MED,0.2591713439785609,ERR315856,DCM,N,Cell motility,0
283607,MED-698_120,3710,4682,MED-698,120,tara,CALIN,MED,0.025427781478877042,ERR315856,DCM,N,Cell motility,0
283608,MED-698_120,5303,6833,MED-698,120,tara,CALIN,MED,0.06255364104643088,ERR315856,DCM,N,Cell motility,0
306776,MED-581_84663,13454,15500,MED-581,84663,tara,CALIN,MED,0.5092485526628147,ERR598993,SRF,L,"Replication, recombination and repair",0
306776,MED-581_84663,13454,15500,MED-581,84663,tara,CALIN,MED,0.4265203158929483,ERR599092,DCM,L,"Replication, recombination and repair",0
306777,MED-581_84663,15527,17237,MED-581,84663,tara,CALIN,MED,0.6025649886686683,ERR598993,SRF,D,"Cell cycle control, cell division, chromosome partitioning",0
306778,MED-581_84663,17341,20845,MED-581,84663,tara,CALIN,MED,0.43527252556866175,ERR598993,SRF,D,"Cell cycle control, cell division, chromosome partitioning",0
306778,MED-581_84663,17341,20845,MED-581,84663,tara,CALIN,MED,0.2818396503431859,ERR599092,DCM,D,"Cell cycle control, cell division, chromosome partitioning",0
332986,MED-610_6467,257,1334,MED-610,6467,tara,In0,MED,1.8322216765244088,ERR315856,DCM,L,"Replication, recombination and repair",0
363039,MED-697_MHASMcontig_89617,4005,4467,MED-697,MHASMcontig_89617,tara,CALIN,MED,0.031356992776055144,ERR594405,DCM,,,
485,EAC-39_MHASMcontig_874537,11285,12014,EAC-39,MHASMcontig_874537,tara,CALIN,EAC,0.05195719705651565,ERR594382,DCM,L,"Replication, recombination and repair",0
485,EAC-39_MHASMcontig_874537,11285,12014,EAC-39,MHASMcontig_874537,tara,CALIN,EAC,0.0,ERR594414,DCM,L,"Replication, recombination and repair",0
4745,EAC-39_MHASMcontig_893677,1997,4346,EAC-39,MHASMcontig_893677,tara,CALIN,EAC,0.055413311841633964,ERR594414,DCM,K,Transcription,0
4746,EAC-39_MHASMcontig_893677,4368,4995,EAC-39,MHASMcontig_893677,tara,CALIN,EAC,0.0,ERR594414,DCM,,,
4747,EAC-39_MHASMcontig_893677,5328,6915,EAC-39,MHASMcontig_893677,tara,CALIN,EAC,0.2889200331184625,ERR594414,DCM,L,"Replication, recombination and repair",0
17577,EAC-102_MHASMcontig_1035584,2632,3598,EAC-102,MHASMcontig_1035584,tara,complete,EAC,0.22211375180216208,ERR594362,SRF,L,"Replication, recombination and repair",0
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,0.03163317002247265,ERR594359,SRF,X,"Mobilome: prophages, transposons",0
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,0.03039451223473214,ERR594361,SRF,X,"Mobilome: prophages, transposons",0
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,0.033485193046974865,ERR594362,SRF,X,"Mobilome: prophages, transposons",0
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,0.035944363896833184,ERR594382,DCM,X,"Mobilome: prophages, transposons",0
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,0.032392170438966035,ERR594389,DCM,X,"Mobilome: prophages, transposons",0
18024,EAC-102_127844,72,1017,EAC-102,127844,tara,complete,EAC,0.03041113622634105,ERR594414,DCM,X,"Mobilome: prophages, transposons",0
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,0.05790135734535061,ERR594359,SRF,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,0.05790135734535061,ERR594359,SRF,T!!!K!!!T!!!T!!!T,Transcription,0
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,0.05790135734535061,ERR594359,SRF,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,0.05790135734535061,ERR594359,SRF,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,0.05790135734535061,ERR594359,SRF,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,0.0,ERR594361,SRF,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,0.0,ERR594361,SRF,T!!!K!!!T!!!T!!!T,Transcription,0
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,0.0,ERR594361,SRF,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,0.0,ERR594361,SRF,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0
134010,EAC-44_124124,2771,5957,EAC-44,124124,tara,CALIN,EAC,0.0,ERR594361,SRF,T!!!K!!!T!!!T!!!T,Signal transduction mechanisms,0
143645,EAC-52_161299,63000,63333,EAC-52,161299,tara,complete,EAC,0.0864420165850256,ERR594389,DCM,,,
158011,EAC-69_MHASMcontig_662727,754,949,EAC-69,MHASMcontig_662727,tara,CALIN,EAC,0.06619778990394384,ERR594392,SRF,K,Transcription,0
158011,EAC-69_MHASMcontig_662727,754,949,EAC-69,MHASMcontig_662727,tara,CALIN,EAC,0.03675165486855021,ERR599376,SRF,K,Transcription,0
241232,EAC-47_MHASMcontig_621820,710,1262,EAC-47,MHASMcontig_621820,tara,CALIN,EAC,0.7232926851202309,ERR594392,SRF,J!!!O,"Translation, ribosomal structure and biogenesis",0
241232,EAC-47_MHASMcontig_621820,710,1262,EAC-47,MHASMcontig_621820,tara,CALIN,EAC,0.7232926851202309,ERR594392,SRF,J!!!O,"Posttranslational modification, protein turnover, chaperones",0
244110,EAC-47_127756,10921,11911,EAC-47,127756,tara,CALIN,EAC,0.12009584850028747,ERR594392,SRF,V,Defense mechanisms,0
276751,EAC-50_MHASMcontig_666020,738,1071,EAC-50,MHASMcontig_666020,tara,CALIN,EAC,0.8673802247862672,ERR594392,SRF,,,
276767,EAC-50_MHASMcontig_666020,18669,19530,EAC-50,MHASMcontig_666020,tara,CALIN,EAC,0.025663039981706787,ERR594392,SRF,C,Energy production and conversion,0
276767,EAC-50_MHASMcontig_666020,18669,19530,EAC-50,MHASMcontig_666020,tara,CALIN,EAC,0.04208339409861795,ERR599376,SRF,C,Energy production and conversion,0
277458,EAC-50_44012,1445,1781,EAC-50,44012,tara,complete,EAC,0.010792181551962909,ERR599376,SRF,H,Coenzyme transport and metabolism,0
277461,EAC-50_44012,4020,7137,EAC-50,44012,tara,complete,EAC,0.003073268226211688,ERR599376,SRF,L,"Replication, recombination and repair",0
278286,EAC-50_128950,145508,145787,EAC-50,128950,tara,CALIN,EAC,0.004743147664428598,ERR594392,SRF,V,Defense mechanisms,0
278793,EAC-50_130074,4768,6340,EAC-50,130074,tara,CALIN,EAC,0.07698818847366709,ERR594362,SRF,X,"Mobilome: prophages, transposons",0
278793,EAC-50_130074,4768,6340,EAC-50,130074,tara,CALIN,EAC,0.0528383437523462,ERR594392,SRF,X,"Mobilome: prophages, transposons",0
278793,EAC-50_130074,4768,6340,EAC-50,130074,tara,CALIN,EAC,0.06900117174992444,ERR599376,SRF,X,"Mobilome: prophages, transposons",0
16286,IN-5_11176,7490,7796,IN-5,11176,tara,CALIN,IN,0.08116568264799225,SRR3963498,deep,J,"Translation, ribosomal structure and biogenesis",0
16287,IN-5_11176,7826,8222,IN-5,11176,tara,CALIN,IN,0.04643270989339837,SRR3963498,deep,J,"Translation, ribosomal structure and biogenesis",0
16288,IN-5_11176,8245,8779,IN-5,11176,tara,CALIN,IN,0.05666718474760427,SRR3963498,deep,J,"Translation, ribosomal structure and biogenesis",0
16289,IN-5_11176,8791,9145,IN-5,11176,tara,CALIN,IN,0.03817555839647603,SRR3963498,deep,J,"Translation, ribosomal structure and biogenesis",0
51828,IN-924_29040,4459,5215,IN-924,29040,tara,CALIN,IN,0.2654181939972096,ERR599057,SRF,O,"Posttranslational modification, protein turnover, chaperones",0
51828,IN-924_29040,4459,5215,IN-924,29040,tara,CALIN,IN,0.3669107756820184,ERR599102,SRF,O,"Posttranslational modification, protein turnover, chaperones",0
51828,IN-924_29040,4459,5215,IN-924,29040,tara,CALIN,IN,0.4116088177884752,ERR599146,SRF,O,"Posttranslational modification, protein turnover, chaperones",0
51828,IN-924_29040,4459,5215,IN-924,29040,tara,CALIN,IN,0.2717471263330641,ERR599150,SRF,O,"Posttranslational modification, protein turnover, chaperones",0
51828,IN-924_29040,4459,5215,IN-924,29040,tara,CALIN,IN,0.6569489709362064,ERR599158,SRF,O,"Posttranslational modification, protein turnover, chaperones",0
51828,IN-924_29040,4459,5215,IN-924,29040,tara,CALIN,IN,0.2498129875747445,ERR599023,DCM,O,"Posttranslational modification, protein turnover, chaperones",0
51828,IN-924_29040,4459,5215,IN-924,29040,tara,CALIN,IN,0.2923232637277629,ERR599026,DCM,O,"Posttranslational modification, protein turnover, chaperones",0
51828,IN-924_29040,4459,5215,IN-924,29040,tara,CALIN,IN,0.370546135953077,ERR599028,DCM,O,"Posttranslational modification, protein turnover, chaperones",0
51828,IN-924_29040,4459,5215,IN-924,29040,tara,CALIN,IN,0.3594128753574936,ERR599082,DCM,O,"Posttranslational modification, protein turnover, chaperones",0
51828,IN-924_29040,4459,5215,IN-924,29040,tara,CALIN,IN,0.37866736011120783,ERR599110,DCM,O,"Posttranslational modification, protein turnover, chaperones",0
51829,IN-924_29040,5271,6171,IN-924,29040,tara,CALIN,IN,0.06939822073963273,ERR599057,SRF,H,Coenzyme transport and metabolism,0
51829,IN-924_29040,5271,6171,IN-924,29040,tara,CALIN,IN,0.0,ERR599146,SRF,H,Coenzyme transport and metabolism,0
51829,IN-924_29040,5271,6171,IN-924,29040,tara,CALIN,IN,0.03969494912447742,ERR599150,SRF,H,Coenzyme transport and metabolism,0
51829,IN-924_29040,5271,6171,IN-924,29040,tara,CALIN,IN,0.0,ERR598949,DCM,H,Coenzyme transport and metabolism,0
51829,IN-924_29040,5271,6171,IN-924,29040,tara,CALIN,IN,0.035926640830158486,ERR599023,DCM,H,Coenzyme transport and metabolism,0
51829,IN-924_29040,5271,6171,IN-924,29040,tara,CALIN,IN,0.05439257697053227,ERR599026,DCM,H,Coenzyme transport and metabolism,0
51829,IN-924_29040,5271,6171,IN-924,29040,tara,CALIN,IN,0.04465169484209381,ERR599028,DCM,H,Coenzyme transport and metabolism,0
51829,IN-924_29040,5271,6171,IN-924,29040,tara,CALIN,IN,0.04394149134584187,ERR599082,DCM,H,Coenzyme transport and metabolism,0
51829,IN-924_29040,5271,6171,IN-924,29040,tara,CALIN,IN,0.05940834946072737,ERR599110,DCM,H,Coenzyme transport and metabolism,0
51830,IN-924_29040,6160,6745,IN-924,29040,tara,CALIN,IN,0.12072801875889586,ERR599057,SRF,H,Coenzyme transport and metabolism,0
51830,IN-924_29040,6160,6745,IN-924,29040,tara,CALIN,IN,0.045250352514116014,ERR599102,SRF,H,Coenzyme transport and metabolism,0
51830,IN-924_29040,6160,6745,IN-924,29040,tara,CALIN,IN,0.0322463447478041,ERR599146,SRF,H,Coenzyme transport and metabolism,0
51830,IN-924_29040,6160,6745,IN-924,29040,tara,CALIN,IN,0.06760129402504647,ERR599150,SRF,H,Coenzyme transport and metabolism,0
51830,IN-924_29040,6160,6745,IN-924,29040,tara,CALIN,IN,0.06015435267717275,ERR599023,DCM,H,Coenzyme transport and metabolism,0
51830,IN-924_29040,6160,6745,IN-924,29040,tara,CALIN,IN,0.06173373852074721,ERR599026,DCM,H,Coenzyme transport and metabolism,0
51830,IN-924_29040,6160,6745,IN-924,29040,tara,CALIN,IN,0.05019084695942196,ERR599028,DCM,H,Coenzyme transport and metabolism,0
51830,IN-924_29040,6160,6745,IN-924,29040,tara,CALIN,IN,0.05629896395161424,ERR599082,DCM,H,Coenzyme transport and metabolism,0
51830,IN-924_29040,6160,6745,IN-924,29040,tara,CALIN,IN,0.08375774712098044,ERR599110,DCM,H,Coenzyme transport and metabolism,0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.047800047791675536,ERR599057,SRF,K!!!J,Transcription,0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.047800047791675536,ERR599057,SRF,K!!!J,"Translation, ribosomal structure and biogenesis",0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.011127655771169202,ERR599102,SRF,K!!!J,Transcription,0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.011127655771169202,ERR599102,SRF,K!!!J,"Translation, ribosomal structure and biogenesis",0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.032701273238441096,ERR599146,SRF,K!!!J,Transcription,0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.032701273238441096,ERR599146,SRF,K!!!J,"Translation, ribosomal structure and biogenesis",0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.041647927919874934,ERR599150,SRF,K!!!J,Transcription,0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.041647927919874934,ERR599150,SRF,K!!!J,"Translation, ribosomal structure and biogenesis",0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.013615830069507484,ERR599023,DCM,K!!!J,Transcription,0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.013615830069507484,ERR599023,DCM,K!!!J,"Translation, ribosomal structure and biogenesis",0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.04525026731736207,ERR599026,DCM,K!!!J,Transcription,0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.04525026731736207,ERR599026,DCM,K!!!J,"Translation, ribosomal structure and biogenesis",0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.042411754543305966,ERR599028,DCM,K!!!J,Transcription,0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.042411754543305966,ERR599028,DCM,K!!!J,"Translation, ribosomal structure and biogenesis",0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.043065957279712866,ERR599082,DCM,K!!!J,Transcription,0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.043065957279712866,ERR599082,DCM,K!!!J,"Translation, ribosomal structure and biogenesis",0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.06557761619733513,ERR599110,DCM,K!!!J,Transcription,0
51831,IN-924_29040,6762,7512,IN-924,29040,tara,CALIN,IN,0.06557761619733513,ERR599110,DCM,K!!!J,"Translation, ribosomal structure and biogenesis",0
79550,IN-32_19423,45740,46037,IN-32,19423,tara,CALIN,IN,0.024949140330589925,ERR599062,MES,V,Defense mechanisms,0
79550,IN-32_19423,45740,46037,IN-32,19423,tara,CALIN,IN,0.0,SRR3963982,deep,V,Defense mechanisms,0
79551,IN-32_19423,46036,46330,IN-32,19423,tara,CALIN,IN,1.7570968639453135,ERR598960,MES,V,Defense mechanisms,0
79551,IN-32_19423,46036,46330,IN-32,19423,tara,CALIN,IN,0.19099640046227048,ERR599062,MES,V,Defense mechanisms,0
79551,IN-32_19423,46036,46330,IN-32,19423,tara,CALIN,IN,0.026454807377119968,SRR3963982,deep,V,Defense mechanisms,0
79552,IN-32_19423,46426,46729,IN-32,19423,tara,CALIN,IN,0.4408041401106999,ERR599082,DCM,X,"Mobilome: prophages, transposons",0
79552,IN-32_19423,46426,46729,IN-32,19423,tara,CALIN,IN,0.08644756994584295,ERR598960,MES,X,"Mobilome: prophages, transposons",0
79552,IN-32_19423,46426,46729,IN-32,19423,tara,CALIN,IN,1.3547341472212546,ERR599062,MES,X,"Mobilome: prophages, transposons",0
79552,IN-32_19423,46426,46729,IN-32,19423,tara,CALIN,IN,0.15082115844831198,SRR3963982,deep,X,"Mobilome: prophages, transposons",0
132508,IN-928_44884,27651,28620,IN-928,44884,tara,complete,IN,0.16122054257647694,ERR599112,MES,L,"Replication, recombination and repair",0
16289,IN-5_11176,8791,9145,IN-5,11176,malaspina,CALIN,IN,0.13343775873549835,IN_SRR3963658,deep,E,Amino acid transport and metabolism,0
56876,IN-5_12108,195471,196170,IN-5,12108,malaspina,CALIN,IN,2.292950465773211,IN_SRR3963457,deep,C,Energy production and conversion,0
56876,IN-5_12108,195471,196170,IN-5,12108,malaspina,CALIN,IN,1.5096058686132383,IN_SRR3963622,deep,C,Energy production and conversion,0
56877,IN-5_12108,196475,196916,IN-5,12108,malaspina,CALIN,IN,1.3811369919128715,IN_SRR3963457,deep,G,Carbohydrate transport and metabolism,0
